	file	artist	title	lyrics
2239	TRAHQHC128F42A77D8.h5	Bob Wills	Bubbles in My Beer	"Awww nana, yes
Watchin' the bubbles in my beer
Come in Tommy, give us the lowdown on it

Tonight in a bar, alone I'm sitting (yes?)
Apart from the laughter and the cheer (that's not good)
While scenes from the past rise before me (yeah)
Just watchin' the bubbles in my beer

A vision of someone who loved me
Brings a lone silent tear to my eye (aww)
Oh, I know that my life's been a failure
Just watchin' the bubbles in my beer (yeah)

Well, alright
Oh oh
Hot Thomas

I'm seeing the road that I've traveled (yeah)
A road paved with heartaches and tears
And I'm seeing the past that I've wasted
While watchin' the bubbles in my beer

As I think of the heart that I've broken
And of the golden chances that have passed me by
And the dreams that I've made, now are empty (aww now)
As empty as the bubbles in my beer"
2240	TRAHQHK128F4288FC7.h5	Bacilos	Sangre americana	"Yo, tengo sangre americana
de una América que estaba antes del nombre
de patria, de banderas
cruzes y mentiras
tengo rasgos de una realidad
que no sale ni en telenovelas
ni se ve en publicidad

Yo tengo sangre americana
de la que más se derrama pa' escribir
la historia americana
como el viejo chief Seatle
como todos los soldados razos
que se mueren viendo morir
esta tierra

Esto no va a pasar
esto no va a cambiar
esto no va a dejar de ser una comedia
la comedia del que no se quiere

Esto no va a pasar
esto no va a cambiar
porque no hay un disparo que pueda borrar la historia
que nos corre por las venas

que nos corre por las venas...

Yo me doy cuenta cuando entro
a algún club de sociedad o tienda fina
o en la fila de una discoteca
de que yo tengo sangre americana
como el puma como el cóndor
como el águlia
del gran escudo

Sé que no debo decirlo
pero debo decirlo
al menos decirlo
subsiste, respira mi sangre americana

Esto no va a pasar
esto no va a cambiar
esto no va a dejar de ser una tragedia
la tragedia del que no se quiere

Esto no va a pasar
esto no va a sanar
porque no hay un disparo que pueda borrar la historia
que nos corre por las venas

que nos corre por las venas...

Nanana nana nana

Sé que no debo decirlo
al menos decirte mi sangre americana

Esto no va  a pasar
esto no va a sanar..."
2245	TRAHQWU128F4277B78.h5	Red I Flight	Of Myth And Men (Album Version)	"A mere myth to men with legs that touch the sky
The unavailable is in my reach now

That which men strive
For is what I have
It's what you've wanted all along
But you can't take what belongs to me now
And unbeknownst to me

She said those words one night
Those words that last a life time
And are worth the fight

The shadows on her face that day
Are all I remember
They shed light on what truth can be

She always looks so pretty
In her iridescence
Beauty runs deeper than flesh

She's so good to me
So very long awaited
It is understood beauty runs deeper than flesh
In her iridescence beauty
Runs deeper than flesh

We don't even have to speak like clarity
It's understood"
2246	TRAHQYK128F426A82F.h5	Headhunter	Are We Mindless?	"Confirmation - we're lookin' for
Family - is our priority
Reputation - the major disease!

Risk - no, no ever, ever
Native - is our success
We don't like to attract attention
To be average is our rule!

Security - is what be build on
Suspense - if the time is right
But once a year we dress up
Dress up to wipe out!

Are we mindless - or why do we need this masquerade?
Are we mindless - or why I've hide behind this masks?
Are we mindless - is there a need to have systemized fun?
Are we mindless - now we're the jesters for anyone!

Smash - everything to pieces
Booze - till we throw up
Once a year my nasty habits take control!

Cheat - betray your partner
Scandals - now we don't care
Fools license for my body
For my body and for my sail!

Are we mindless - or why do we need this masquerade?
Are we mindless - or why I've hide behind this masks?
Are we mindless - is there a need to have systemized fun?
Are we mindless - now we're the jesters for anyone!

Tomorrow I wake up and I'll redress my deeds
Follow the masses - I've satisfied my needs

Are we mindless - or why do we need this masquerade?
Are we mindless - or why I've hide behind this masks?
Are we mindless - is there a need to have systemized fun?
Are we mindless - now we're the jesters for anyone!"
2250	TRAHRIG12903CC4871.h5	Fat Joe	Prove Something (explicit album version)	"East New York!! oh god!!
Yeah, got that gangsta gangsta gully gully
Yeah, big business, Joe Crack the don
Terror Squad baby, BX boro, holdin down to the death
It's nothin realer than this you heard, uh what huh

[Verse 1]
Its like I'm always out to prove somethin
Everytime I stop on the block
I set up shop and try to move somethin
And I'm talkin about kilo's and pounds
Fuck a desert eagle
I got shit that spit over 300 rounds
Can tell by the scar on my neck
I spar with the best
Joey boombay-ay, hit hard with the left
Sharp with the right, I dont know why I bother
Y'all not retarded
Man ya know what the squadron is like
And he can get it too
But I let him die slow death I probably just collectin his food
I'm deadin ya crew
To tell ya the truth we not stoppin
I'm like lil' lease from b-street man I keep poppin
The streets knockin my shit, the d's watchin my shift
We can do this however, east glock or the fifth
I leave you chumps to frame, right where you standin
Daughter slaughtered and maimed you should have paid the ransom

[chorus x2]
Its the T E R R O R squad, nigga get it right
Its the nigga joe the don
And the kid flow hard, ask the clique
Niggas be like you crazy, he got classic shit

[Verse 2]
Its the killa kid from the bronx
Holdin down to the death
You can hear the squad comin
By the sound of the techs
A hundred rounds in a sec
Leave you on front page
You would think I was down with the ROC
The way I just blazed
I puff haze to keep my mind at ease
Can't wait for the day to see shyne released
This hip hop shit is unjust, who you gon' trust
When most of these record label execs is dumb fucks
I keep a gun tuck under my belly
Only nigga on the island makin calls from the celly
We watchin belly on the DV, 60 inch TV
Flat shit attatch to the back of the CP
This game need me, I'm like gotti once I'm gone
All you gonna have left is a bunch of fake dons
Champagne with the women, run a game for the puddin
Its all the same, still runnin trains with my hoodmen
A bunch of goodmen, but dont get it confused
We like dinero in heat nigga, nothin to loose
I know you seen the shoot out scene
Dont make us reneact, cuz I rather be layed up in ?? with a featured actress

[chorus x2]

Its the T E R R O R squad, nigga get it right
Its the nigga joe the don
And the kid flow hard, ask the clique
Niggas be like you crazy, he got classic shit

Yea, hell yea, uh brought to you by the realest motherfuckers in this game
The infamous terror squad, yea, real niggas, real dons
Real G's haha, come on, woo uh
Ton' Montana rest in peace forever, never forget.. Big Pun!"
2260	TRAHRRS128F4282F7A.h5	Blue Rodeo	Mystic River	"I can't believe it's true I finally got you here 
I been waiting for this moment for some years 
I've been torn down enough to know 
Everyone goes through this door 
Just before their lives explode 
Come in here with a heavy load

Walking down the road watching the day begin 
Radio song is playing off in a distant wind 
But you can feel it its a gentle love 
Coming out soft from the windows above 
Just when you have had enough 
Here comes the world you've been dreaming of 

Oh my my the Mystic River 
She takes your heart 
And you will forgive her 
Lay me down beside the water 
I look across at the sons and daughters 

Sun comes up each day to chase away the moon 
Even the stars at night they fade away too soon 
You can't do much about the trouble life brings 
Cut all the lines so the phones don't ring 
But stay here once from spring to spring 
Watching the ice melt the mornings sing 

Oh my my the Mystic River 
She takes your heart 
And you will forgive her 
Lay me down beside the water 
I miss my sons I miss my daughter now 

There's a tree that grows out in the burning sands 
Never a drop of rain that nobody understands 
You can push me I don't mind 
Leave me out here and I'll be fine 
Cause everyone's gonna have their time 
Up or down honey you decide 

Oh my my the Mystic River 
She takes your heart 
And you will forgive her 
Lay me down beside the water 
I miss my sons I miss my daughter now"
2264	TRAHSAW128F4253EFC.h5	Nick Cave & The Bad Seeds	Rock Of Gibraltar	"Let me say this to you
I'll be steadfast and true
And my love will never falter

The sea would crash about us
The waves would lash about us
I'll be your Rock of Gibraltar

Sometimes it's hard
And we're both caught off guard
But there's nothing I would ever alter

The wind could howl round our ears
For the next thousand years
I'd still be your Rock of Gibraltar 

The best thing I done
Was to make you the one
Who I'd walk with down to the altar

You'd stand by me 
And together we'd be
That great, steady Rock of Gibraltar 

Under the big yellow moon
On our honeymoon
I took you on a trip to Malta

And all through the night
You held me so tight
Your great, steady Rock of Gibraltar 

Could the powers that be
Ever foresee
That things could so utterly alter?

All the plans that we laid
Could soon be betrayed
Betrayed like the Rock of Gibraltar"
2274	TRAHSQL128F4288AC7.h5	Army of the Pharoahs	Narrow Grave	"[Vinnie P]
Yeah Yeah
Kamachi, Planetary, King Syze

[Chief Kamachi]
Yo, they love the way I pin a champ,
Under a tinted lamp hear my voice blast from a vintage amp.
I kill the reciters of lies,
Get burned by the fire from the light in my eyes.
It's Kamachi, possessed by the pharaoh ways,
Underground like where the dead bone marrow stays.
The spot where you breath is where the arrow lays,
A sideways death for a narrow grave.
My shit hit hard like an Arab raid.
We blow up, ain't no need for a barricade.
They looking for good luck, like a barrel of jade,
They looking, so stuffed when the barrel is sprayed.
Since the five perfect exertions, they waited afraid.
The devil caught from the tower on the table is slayed, pussy.

[Chorus x2]
Fall back, fold up, rappers is so tough,
Until the army roll up banging that cold crush.
We send shots through ya vest and leave your soul touched,
Lock and load up, post up, toast up.

[King Syze]
Aiyo, my vocal duel, payments hiatus save the local crews.
Only the chosen few can ride with the most explosive crew.
But not you, jealous ones they envy us,
Cause we spit venomous, until books remember us. 
Hell fire embedded in us, plus sins condemning us,
It's just what I write, ignite cop killers and predators.
I be like this, best believe I cant be ignored,
Spitting metaphoric, until the chosen child is aborted.
When my mind's in orbit, forces knock you out your high horses.
Deal with high sources, until the meal is five courses.
The flames is high, when my brain and the train collide.
Under much needed change in time, the game is mine.
Build strength through the niggas that be hating me peers,
But it's the army, part of me ya'll been waiting for years.
From a small block, hip hop, busting my tool.
King Syze, dope shit, what can I say man?  It's nothing new.

[Chorus x2]
Fall back, fold up, rappers are so tough,
Until the army roll up banging that cold crush.
We send shots through ya vest and leave your soul touched,
Lock and load up, post up, toast up.

[Planetary]
I'm a scientist in the lab, with a violent twist and a gift of gab,
Pharaoh tongue that can lash through your clique and stab.
From the days where you carried screw drivers,
in back pockets in case you had to prove that your crew lava.
We was painting on your property,
and until this day I still got rookie niggas out trying to copy me.
Planetary nigga, Q-D original,
Smooth criminal, bash your mental, bruise your physical.
There's something about the evilness of this track,
it makes the heaven's gates close, and the tabernacles crack.
In fact, it separates all the lies and the facts,
It makes you see the light right before the sky turns black.
It turns boys to men, it turns toy soldiers to generals,
Innocent mother fuckers graduate to criminals.
It makes you think twice about who you are,
It makes you feel like death's coming every 16 bars.


[Chorus x2]
Fall back, fold up, rappers is so tough,
Until the army roll up banging that cold crush.
We send shots through ya vest and leave your soul touched,
Lock and load up, post up, toast up."
2279	TRAHSYA128F428143A.h5	Screamin' Jay Hawkins	I Put a Spell on You	"I put a spell on you 
Because you're mine 
Stop the things you do 
Watch out, I ain't lying 

I can't stand 
No running around 
I can't stand
No putting me down 

I put a spell on you 
Because you're mine, oh yeah

Stop the things you do 
Watch out, I ain't lying 

Oh, oh, I love you, I love you 
I love you anyhow 
I don't care if you don't want me 
I'm yours right now 

I put a spell on you 
Because you're mine, mine, mine 
Oh, ooh you're mine"
2284	TRAHTHN128F93309DB.h5	Forensics	Boat Day At the Marina	"If we were raised as vultures, I'd touch my wings to light up the sky.
My span ablaze, scorch the night.
Can you feel this?
Can you feel?
To the howling wolves...
To these birds of prey...
I can't kill for you.
And I won't die for this.
Resist. Resist what they profess.
Protest. Protest until they confess."
2285	TRAHTIM128F1475DBA.h5	Ice Cube	Why We Thugs (edited version)	"Yeah
Every hood's the same
Every hood's the same
Come on

They give us guns and drugs
Then wonder why in the fuck we thugs
They wanna count the slugs
Then come around here and fuck with us
They give us guns and drugs
Then wonder why in the fuck we thugs
They wanna count the slugs
Then come around here and fuck with us

I'm from the land of the gang bang
Since I was little, ain't a god damn thang changed
It's the same ol' same
Bush run shit like Saddam Hussein
I cock and aim, clinically insane
To deal with this bullshit day to day
If I sell some yay or smoke some hay
You bitches wanna throw me up in Pelican's Bay
Call me an animal up in the system
But who's the animal that built this prison?
Who's the animal that invented lower living?
The projects, thank god for Russell Simmons
Thank god for Sugarhill
I'm putting a different kind of steel up to my grill
Y'all know what it is, scared for your own kids
How these little niggas taken over showbiz

They give us guns and drugs
Then wonder why in the fuck we thugs
They wanna count the slugs
Then come around here and fuck with us
They give us guns and drugs
Then wonder why in the fuck we thugs
They wanna count the slugs
Then come around here and fuck with us

It's Boyz n the Hood, it's toys in the hood
Y'all wanna know why it's noise in the hood
Cause there's drugs in the hood, thugs in the hood
Nigga killed a crip and a blood in the hood for real
'Cause when niggas get tribal
It's all about survival, nobody liable
I got caught by five-o
Grandmama came to court with her bible
But when the judge hit the gavel
Now I'm too far from my family to travel
I just came unraveled
Socked the D.A. before I got gaffled
Owned by C.A., state property
Just like the year fifteen fifty three
Looking for me, a one-way ticket out
Don't understand, what's so hard to figure out?

They give us guns and drugs
Then wonder why in the fuck we thugs
They wanna count the slugs
Then come around here and fuck with us
They give us guns and drugs
Then wonder why in the fuck we thugs
They wanna count the slugs
Then come around here and fuck with us

Damn, I can't take the pressure
Pulled the four-four up out the dresser
Grabbed the weight up out the closet
Po-po coming but I'm scared to toss it
Y'all know what happened last time I lost it
Can't tell you niggas what the fuckin' boss did
The game got a nigga exhausted
Gotta go for the big bargain they offered
Twenty years for what?
Breaking these laws that's so corrupt
Taking these halls and fillin' 'em up
Some powder keg shit that's about to erupt
Ay y'all, I'm about to be stuck
Until the year two thousand, what the fuck?
In the hood, don't press your luck
Cause these motherfuckers will set you up, word up

They give us guns and drugs
Then wonder why in the fuck we thugs
They wanna count the slugs
Then come around here and fuck with us
They give us guns and drugs
Then wonder why in the fuck we thugs
They wanna count the slugs
Then come around here and fuck with us

Every hood's the same
Every hood's the same
Every hood's the same
Every hood's the same
Every hood's the same
Stop trippin' on it
Every hood's the same
Every hood's the same
Every hood's the same
Every hood's the same"
2293	TRAHTZN128F421A41F.h5	Radney Foster	Again	"Ain't it funny the turns life puts you through
Don't know what's round the bend
Lord you don't know where it's leading you
Close your eyes say a prayer
Take it on the chin it's the
Darnedest thing who comes round again
Baby I thought that
Love was over and gone for-
–ever never gonna come back
To me never gonna hold me again but
Your love pounds in my heart like
Thunder flashes through me like
Lightning making me believe Again
Don't know what I'm supposed to say
Ain't got a clue bout what I need to do
All I know is what I feel 
Right here right now with you 
Baby I thought that
Love was over and gone for-
–ever never gonna come back
To me never gonna hold me again but
Your love pounds in my heart like
Thunder flashes through me like
Lightning making me believe A-
-gain ...Baby I thought that
Love was over and gone for-
–ever never gonna come back
To me never gonna hold me again but
Your love pounds in my heart like
Thunder flashes through me like
Lightning making me believe"
2296	TRAHUCB128F930E732.h5	Marisela	Un Amor En El Olvido	"Todo esto va acabar muy mal 
Muy mal muy mal, muy mal 
Pero es preciso 
No hacemos nada 
Tan solo lamentar que lo nuestro no es normal 
Que se acabo el hechizo 

Tu no comprendes 
Que lo que doy es real 
Que asi es mi forma de amar 
Que asi es mi estilo 
Yo no comprendo 
Que tu tambien quizas me amas de verdad 
Y ahi se forma el abismo 

Pero quisiera que quisieras 
Que te quiera y que me quieras 
Como nunca y como a nadie has querido 
Por que no no hay nada 
Mas nefasto negativo mas estupido y desleal 
Que un amor en el olvido 
Por que no hay nada 
Mas nefasto negativo mas estupido y desleal 
Que mi amor en el olvido 

Tu no comprendes 
Que lo que doy es real 
Que asi es mi forma de amar 
Que asi es mi estilo 
Yo no comprendo 
Que tu tambien quizas me amas de verdad 
Y ahi se forma el abismo 

Pero quisiera que quisieras 
Que te quiera y que me quieras 
Como nunca y como a nadie has querido 
Por que no no hay nada 
Mas nefasto negativo mas estupido y desleal 
Que un amor en el olvido 
Por que no hay nada 
Mas nefasto negativo mas estupido y desleal 
Que mi amor, que mi amor en el olvido"
2301	TRAHULA128F92CC05F.h5	Simon & Garfunkel	Old Friends	"Old friends, old friends
Sat on their park bench like bookends
A newspaper blown through the grass
Falls on the round toes
Of the high shoes of the old friends

Old friends, winter companions, the old men
Lost in their overcoats, waiting for the sunset
The sounds of the city sifting through trees
Settle like dust on the shoulders of the old friends

Can you imagine us years from today
Sharing a park bench quietly?
How terribly strange to be 70

Old friends, memory brushes the same years
Silently sharing the same fears"
2303	TRAHUQF128F934EF0C.h5	Jah Cure	Freedom	"The time is here
Oooooh
The cure is here

(1)
I never knew the day would come I would be free again
I never knew the day would come you would see me again
Know you did a pray fi mi
Now your prayers come true
Done wid all the suffering

Time for something new

()
Freedom
Ma heart just a sing, praises to the King
Freedom
Healing for the poor, here comes the Cure
Freedom
Mi heart just a sing, praises to the King

Freedom
Healing for the poor, here comes Jah Cure

(2)
Been through the worst
Now a time fi wi rise an shine
Mi did tink seh mi did lose but I'm here to reclaim what's mine
Jah Jah mek mi stronger

Strong that I've overcome
Mi no have to wait no longer
Waiting time is done

()
Freedom
Mi heart jus a sing praises to the king
Freedom
Mi heart just a cry hail the Most High
Freedom
Here comes the Cure
Heeeaaaay
Freedom
Cure is here
Cure is here
Na no no no no no aaaaaah

Heeay
A tell u hey
Aah aahaa
Ahhh ahhhhhhh yeh yeh yeh yeh

(3)
Now that the day has come, I
I am free again
Now that the day has come, you

You will see me again
So long to all my suffering
Time for something new
And I am thankful to all of you
Who have helped me make it through

()
Freedom
Freedom yeeah
Freedom
Mi heart just a sing, praises to the king
Freedom
Healing for the poor, here comes the Cure
Freedom
Here come the Cure yeah
Freedom
Ma heart just a sing, praises to the King
Freedom
Healing for the poor, here comes the cure
Here comes the Cure
Freedom
Ma heart just a sing, praises to the King
Freedom
Healing for the poor, here comes Jah cure"
2304	TRAHUQT128F4281228.h5	Nickelback	We Will Rock You	"Buddy, you're a boy make a big noise
Playin' in the street gonna be a big man some day
You got mud on yo' face
You big disgrace
Kickin' your can all over the place
Singin

We will we will rock you  ha ha 
We will we will rock you

Buddy you're a young man hard man
Shoutin' in the street gonna take on the world some day
You got blood on yo' face
You big disgrace
Wavin' your banner all over the place
Singin'

We will we will rock you
We will we will rock you

Buddy you're an old man poor man
Pleadin' with your eyes gonna make you some peace some day
You got mud on your face
You big disgrace
Somebody better put you back into your place
Singin

We will we will rock you
We will we will rock you"
2308	TRAHUWM128F42801C0.h5	Keb' Mo'	I'm Amazing	"Brother,
I need to talk to you
This might sound strange
And you'll probably think I'm crazy and I've lost my mind,
Well, okay
I'm amazing; I'm incredible
I'm a miracle, a dream come true
I'm marvelous; I'm beautiful
Guess what?
So are you.

People,
It's becoming clear
I can feel it down in my soul.
I know that I am you and you are me.
Uh-oh.
And I'm grateful for the simple things
That we take for granted every day
Listen,
I can walk I can talk, I can use my mind.
Okay.
I'm amazing; I'm incredible
I'm a miracle, a dream come true
I'm marvelous; I'm beautiful
Guess what?
So are you.

That don't mean we're better than anyone or anything
It's a call to come together and accept responsibility
And be amazing, incredible
You're a miracle, a dream come true
And I'm marvelous; I'm beautiful
Guess what?
So are you."
2315	TRAHVGN128F1484412.h5	Linkin Park	Pushing Me Away (Album Version)	"I've lied to you
The same way that I always do
This is the last smile
That I'll fake for the sake of being with you
(Everything falls apart, even the people who never frown eventually break down)
The sacrifice of hiding in a lie
(Everything has to end, you'll soon find we're out of time left to watch it all unwind)
The sacrifice is never knowing

Why I never walked away
Why I played myself this way
Now I see your testing me
Pushes me away
Why I never walked away
Why I played myself this way
Now I see your testing me
Pushes me away

I've tried like you
To do everything you wanted to
This is the last time
I'll take the blame for the sake of being with you
(Everything falls apart, even the people who never frown eventually break down)
The sacrifice of hiding in a lie
(Everything has to end, you'll soon find we're out of time left to watch it all unwind)
The sacrifice is never knowing

Why I never walked away
Why I played myself this way
Now I see your testing me
Pushes me away
Why I never walked away
Why I played myself this way
Now I see your testing me
Pushes me away

(We're all out of time, this is how we find how it all unwinds)
The sacrifice of hiding in a lie
(We're all out of time, this is how we find how it all unwinds)
The sacrifice is never knowing

Why I never walked away
Why I played myself this way
Now I see your testing me 
Pushes me away
Why I never walked away
Why I played myself this way
Now I see your testing me 
Pushes me away
Pushes me away"
2317	TRAHVRW128F92F15FE.h5	Ronnie Milsap	Why Don't You Spend The Night	"How did it get so late, where did the night go to
Strange how it slips away when I'm with you
I know it's almost two, I know you should leave, but wait
I've thought it over and there's something I gotta say.

Why don't you spend the night? Somehow it seems so right
Why does it have to end so soon, please stay 'til the morning light
It's such a long way home, and you'd only be alone
Ah, come on now, why don't you spend the night?

Maybe I spoke too soon and maybe my timing's wrong
Or maybe it's something I shouldn't have said at all
But when I look in your eyes, I feel like we're almost one
Ah, something tells me the night's only just begun.

Why don't you spend the night? Somehow it seems so right
Why does it have to end so soon, please stay 'til the morning light
It's such a long way home, and you'd only be alone
Ah, come on now, why don't you spend the night?

Why don't you spend the night? Somehow it seems so right
Why does it have to end so soon, please stay 'til the morning light
It's such a long way home, and you'd only be alone
Ah, come on now, why don't you spend the night?..."
2318	TRAHVUH128F4295249.h5	David Bowie	Time Will Crawl (Extended Dance Mix)	"I've never sailed on a sea
I would not challenge a giant
I could not take on the church
Time will crawl
Till the 21st century lose

I know a government man
He was as blind as the moon
He saw the sun in the night
He took a top-gun pilot
He made him fly thru a hole
Till he grew real old
And he never came down
He just flew till he burst

Time will crawl till our mouths run dry
Time will crawl till our feet grow small
Time will crawl till our tails fall off
Time will crawl till the 21st century lose

I saw a black black stream
Full of white eyed fish
And a drowning man
With no eyes at all
I felt a warm warm breeze
That melted metal and steel
I got a bad migraine
That lasted three long years
And the pills that I took
Made my fingers disappear

Time will crawl, time will crawl
Time will crawl
Till the 21st century lose

You were a talented child
You came to live in our town
We never bothered to scream
When your mask went on
We only smelt the gas
As we lay down to sleep

Time will crawl and our heads bowed down
Time will crawl and our eyes fall out
Time will crawl and the streets run red
Time will crawl till the 21st century lose

Time will crawl and our mouths run dry
Time will crawl and our feet grow small
Time will crawl and our tails fall off
Time will crawl till the 21st century lose

Time will crawl and our heads bowed down
Time will crawl and our eyes fall out
Time will crawl and the streets run red
Time will crawl till the 21st century lose

For the crazy child
We'll give every life
For the crackpot notion"
2319	TRAHVUK128F1456988.h5	The Roots	The Ultimate	"*Black Thought speaks and makes crowd respond for a minute and 15 sec.*

(Black Thought)
Yo my definition is a lyricist for hire
My vocal's a passport that never expire
Crowd loud like fifty rounds of gun fire
Screamin out ""The Roots"" while I balance wit the wire
Yo, expert in this profession, the session
In 1987, I linked up wit the ?uestion
Eleven years later we shared crop wit Geffen
In musical hell, but hip-hop forever heaven
My thoughts, interwoven and deep like Beethoven
This foul world so filled of shit it like a clogged up colon
Swollen wit minds that got stolen
Fake-ass cops, uncontrollable patrolmen
Torture, blood flow like bodies of water
Fathers sexually assaultin they own daughter
Out of sync, outta order like a puzzle
In the land of the unseen hand that hold juggle
In a Game of Life, yo it's hard to roll a double
Tryin times, take lives and separate couples
Kids thinkin they grown, tellin they moms ""Fuck you""
Under they breath, livin in the last times left
Peep the imagery ?strep?, across the sky like a canvas
And we're the artists beneath vigorous rough strokes of darkness
Time to set it off, let's spark this
Switzerland, LET'S SPARK THIS!!
We are the ULTIMATE (rock-rockin it)
We are the ULTIMATE (rock-rockin it)
We are the ULTIMATE, rock-rockin it, rock-rockin it, rock-rockin it
We are the ULTIMATE (rock-rockin it)
We are the ULTIMATE LOUDER! (rock-rockin it)
We are the ULTIMATE
(Rock-rockin it) C'mon (Rock-rockin it) C'mon (Rock-rockin it)
Yo my definition is a lyricist for hire
You couldn't have a clue, it's about to transpire
The books I buy live arms ?I wire?
The Fifth, similar to ghetto gospel choir
We ex-plore the whole states plus record
In flight buds, trip that was a prisoner in war
Four-four the corridor, seal it, no floor
But I could see the drop was a mile aboard
To the bottom, electrical shock for rhymes
I said ""I don't got em"", guess it kinda presented a problem
When I understood, they said ""Let him go""
I woke, during a center to London ?
And now wit a past, fuckin wit border patrol
I'm findin it out, I'm leakin wit my people
Hit the studio, spread this information
In daze of frustration fogged the education
&gt;From Illa-Fifth to Switzerland destination
The Roots du journ, go check the translation
The dictionary of devout topics, far from ebonics
The Fifth Dynast, they can't stop it
Yo Zurlich y'all keep it tight heed
While The Roots Crew smoke weed
Yo, we are the ULTIMATE (rock-rockin it)
We are the ULTIMATE, say what? (rock-rockin it)
We are the ULTIMATE, c'mon 
(Rock-rockin it) C'mon c'mon rock-rockin it, rock-rockin it
We are the ULTIMATE (rock-rockin it)
We are the ULTIMATE LOUDER (rock-rockin it)
We are the ULTIMATE LOUDER
(Rock-rockin it) C'mon rock-rockin it, rock-rockin it
They go *Thought starts humming and Scratch does his thing*
*Crowd cheers*"
2321	TRAHVWT128F148D428.h5	EPMD	Mr. Bozack	"(P: PMD, E: Erick Sermon, B: Both)

P: Good morning Mr. Bozack, time to wake up the nuts
(For what) to hit the shower, so I can wash the butt
E: Damn (Last night was crazy) word life, I had a blast
P: It was ass for days, nuts had a full tank of gas
E: Golly, G, word P, tits and VD
P: Pussy kicking louder than my Alpine Benzi, box
E: Yes, I fresh, sweet like gumdrops
Pay me like Oprah and no one to cockblock
P: Slow down big fella (why) I think you're gassing me
E: P, get off my big dick, chill, stop harrassing me
P: Your dick, you mean my dick and don't forget
Now let me scrub that head because it smells like fish
B: Mr. Bozack (repeat 2X)

E: That's your fault, black (explain) no jim hat
You got in some fly shit and stuck me in bear back
Smarty, what happened over there at the party
Was it Vodka and smeared on a bit of Bacardi
P: No dick (don't call me that) sorry Mr. Bozack
But you didn't help, talking bout (where the hoes at)
E: I was hard (how hard) hard enuff to buck
(Shit, you didn't rush the pussy) see, I stuffed her like a duck
P: Mr. Bozack (what) you went out like a sucker
E: Not me, G, P, 'cause you the one who bucked her
P: Hachoo (God bless you) damn, here's a tissue
E: Yo, P I'm feeling sick
P: Relax, what can I get you, Tetracycline
E: No a penicillin cap, it burns
P: Yo, chill Mr. Bozack
E: No, I can't believe that (cool Jack) screw that
All you had to do was wear a jim hat
P: I reached for one, but didn't quite make it
She grabbed on your head piece, I couldn't quite take it
Now lounge Mr. Bozack, stop cryin like a wuss
Now bone up the nuts, g, 'cause yo, there's more puss
E: Look, P, the B-O-Z is like Audi
P: Audi like who
E: Motherf**kin Kurt Gowdy

It's the jim... owwww, it burns
Don't worry, G, I'll have ya hooked up on Friday
We'll go get the shot real quick
Everything will be copestetic
Oh what the hell all, got to stab this hoe cake right?"
2323	TRAHVZW128F146477A.h5	Between The Buried And Me	Use Of A Weapon (Album Version)	"In your city built with concrete and lies.
We have slaved away so lifeless. 
With every breath a compromise.
So sickened by your process and our pain. 
Plague by the fear of a tomorrow, another day in vein, we can throw all this away.
Trading our sorrow for sin.
We can throw all this away. 
For too long we have starred.
For too long we have fucking stayed so blind to every instinct as you paved the way.
So tomorrow we will take back every year you stole from us, and every night silently desperate and hopeless.
Every dream never realized, and every tear shed from these eyes. 
We will sin and you will suffer.
We will set fire to your machines. 
We will put life back into hearts and you will suffer. 
We will run life through our veins and you will suffer. 
Passion will be found in time, and your world will fall behind us.
Under your dark polluted skies, we may live as the damned. 
But our essence and soul and freedom will unfold.
And only in death shall we see the end. 
For as long as the light of the sun still dances across every sea. 
We will know there is something to live and die for, and we will know every breath to be free."
2325	TRAHWBP12903CAEBFC.h5	Dark Fortress	Evenfall	"With the dawn 
Comes the loathing 
With the morning 
Comes the fall 

With the qualm 
Come the vermin 
Come to spawn 
From the sun they crawl 

With the night 
Dies the calm 
With revulsion 
Comes the spite 

With the light 
Come the lightmares 
Waking Moloch 
Comes with the fall 

Succumb 
Withdraw your soul from this fallacy 
This infamy is not for us 

With the night 
Comes deliverance 
Comes the spark 
That sets us alight 

With the dark 
Comes remembrance 
Comes the halo 
Comes the flight 

And the ground takes a fall 

Torn upon winds of witchery 
Resplendent wings unfold 
Revelling in lucid lechery 
We invoke what no eye can behold 

Azure, her gaping portal 
I blaze in ecstasy 
The goddess calls, immortal 
Shrugs off all treachery 

Stay down 
Wait for evenfall 
For the night to embrace us again 
Wait for evenfall 

Sleep now 
Wait for evenfall 
For the abyss will set us free 
Wait for evenfall"
